KENTT_2;KX;KY
A01;24,902792000;60,162223000
A02;24,905524000;60,166928000
A03;24,916564000;60,177860000
A04;24,921034000;60,176114000
A05;24,925456000;60,176599000
A06;24,932058000;60,176681000
A07;24,932689000;60,177513000
A08;24,953375000;60,176054000
A09;24,960586000;60,176749000
B01;24,848182000;60,165352000
B02;24,886938000;60,192141000
B03;24,890875000;60,195630000
B04;24,902256000;60,205950000
B05;24,918291000;60,206690000
B06;24,930443000;60,204727000
B07;24,936164000;60,204805000
B08;24,948957000;60,199505000
B09;24,966245000;60,201294000
B10;24,972385000;60,198192000
B11;24,973697000;60,198681000
B12;24,989727000;60,185950000
C01;24,847282000;60,165474000
C02;24,846853000;60,180704000
C03;24,849878000;60,205194000
C04;24,851515000;60,224184000
C05;24,841153000;60,229623000
C06;24,835522000;60,250908000
C07;24,870147000;60,251660000
C08;24,880230000;60,259983000
C09;24,970437000;60,263894000
C10;24,975201000;60,265524000
C11;25,014979000;60,281529000
C12;25,031814000;60,281067000
C13;25,079988000;60,273881000
C14;25,088681000;60,271668000
C15;25,087439000;60,253603000
C16;25,110337000;60,240114000
C17;25,137199000;60,233710000
D01;24,915116000;60,238374000
D02;24,917331000;60,229279000
D03;24,923890000;60,220062000
D04;24,911105000;60,208113000
D05;24,929129000;60,191473000
D06;24,936415000;60,184702000
D07;24,944184000;60,170223000
D9;24,947210000;60,167531000
D10;24,948192000;60,166878000
D11;24,953913000;60,158557000
D12;24,955302000;60,156762000
D13;24,955954000;60,154764000
F01;25,149334000;60,245150000
F04;25,199601000;60,280983000
F02;25,158515000;60,255411000
F03;25,148871000;60,261096000
F05;25,254729000;60,274942000
F06;25,233577000;60,261209000
